Date,Time,PM2.5 particulate matter (Hourly measured),Status
4/1/2024,13:00:00,6.627,V ugm-3 (Ref.eq)
4/1/2024,14:00:00,7.854,V ugm-3 (Ref.eq)
4/1/2024,15:00:00,7.17,V ugm-3 (Ref.eq)
4/1/2024,16:00:00,8.326,V ugm-3 (Ref.eq)
4/1/2024,17:00:00,10.802,V ugm-3 (Ref.eq)
4/1/2024,18:00:00,14.363,V ugm-3 (Ref.eq)
4/1/2024,19:00:00,16.297,V ugm-3 (Ref.eq)
4/1/2024,20:00:00,26.109,V ugm-3 (Ref.eq)
4/1/2024,21:00:00,29.245,V ugm-3 (Ref.eq)
4/1/2024,22:00:00,31.863,V ugm-3 (Ref.eq)
4/1/2024,23:00:00,33.019,V ugm-3 (Ref.eq)
4/1/2024,24:00:00,21.344,V ugm-3 (Ref.eq)
5/1/2024,1:00:00,13.467,V ugm-3 (Ref.eq)
5/1/2024,2:00:00,10.59,V ugm-3 (Ref.eq)
5/1/2024,3:00:00,5.778,V ugm-3 (Ref.eq)
5/1/2024,4:00:00,5,V ugm-3 (Ref.eq)
5/1/2024,5:00:00,3.726,V ugm-3 (Ref.eq)
5/1/2024,6:00:00,3.679,V ugm-3 (Ref.eq)
5/1/2024,7:00:00,3.349,V ugm-3 (Ref.eq)
5/1/2024,8:00:00,2.689,V ugm-3 (Ref.eq)
5/1/2024,9:00:00,4.34,V ugm-3 (Ref.eq)
5/1/2024,10:00:00,3.396,V ugm-3 (Ref.eq)
5/1/2024,11:00:00,3.066,V ugm-3 (Ref.eq)
5/1/2024,12:00:00,5.33,V ugm-3 (Ref.eq)
5/1/2024,13:00:00,3.797,V ugm-3 (Ref.eq)
5/1/2024,14:00:00,5.495,V ugm-3 (Ref.eq)
5/1/2024,15:00:00,4.976,V ugm-3 (Ref.eq)
5/1/2024,16:00:00,6.792,V ugm-3 (Ref.eq)
5/1/2024,17:00:00,7.925,V ugm-3 (Ref.eq)
5/1/2024,18:00:00,9.41,V ugm-3 (Ref.eq)
5/1/2024,19:00:00,11.038,V ugm-3 (Ref.eq)
5/1/2024,20:00:00,13.75,V ugm-3 (Ref.eq)
5/1/2024,21:00:00,15.873,V ugm-3 (Ref.eq)
5/1/2024,22:00:00,14.104,V ugm-3 (Ref.eq)
5/1/2024,23:00:00,14.906,V ugm-3 (Ref.eq)
5/1/2024,24:00:00,7.995,V ugm-3 (Ref.eq)
6/1/2024,1:00:00,4.67,V ugm-3 (Ref.eq)
6/1/2024,2:00:00,4.528,V ugm-3 (Ref.eq)
6/1/2024,3:00:00,4.292,V ugm-3 (Ref.eq)
6/1/2024,4:00:00,3.774,V ugm-3 (Ref.eq)
6/1/2024,5:00:00,2.335,V ugm-3 (Ref.eq)
6/1/2024,6:00:00,2.359,V ugm-3 (Ref.eq)
6/1/2024,7:00:00,2.5,V ugm-3 (Ref.eq)
6/1/2024,8:00:00,2.382,V ugm-3 (Ref.eq)
6/1/2024,9:00:00,2.759,V ugm-3 (Ref.eq)
6/1/2024,10:00:00,3.278,V ugm-3 (Ref.eq)
6/1/2024,11:00:00,3.255,V ugm-3 (Ref.eq)
6/1/2024,12:00:00,4.481,V ugm-3 (Ref.eq)
6/1/2024,13:00:00,4.269,V ugm-3 (Ref.eq)
6/1/2024,14:00:00,4.08,V ugm-3 (Ref.eq)
6/1/2024,15:00:00,6.297,V ugm-3 (Ref.eq)
6/1/2024,16:00:00,6.156,V ugm-3 (Ref.eq)
6/1/2024,17:00:00,7.524,V ugm-3 (Ref.eq)
6/1/2024,18:00:00,12.594,V ugm-3 (Ref.eq)
6/1/2024,19:00:00,12.83,V ugm-3 (Ref.eq)
6/1/2024,20:00:00,10,V ugm-3 (Ref.eq)
6/1/2024,21:00:00,9.34,V ugm-3 (Ref.eq)
6/1/2024,22:00:00,13.868,V ugm-3 (Ref.eq)
6/1/2024,23:00:00,9.835,V ugm-3 (Ref.eq)
6/1/2024,24:00:00,10.755,V ugm-3 (Ref.eq)
7/1/2024,1:00:00,8.939,V ugm-3 (Ref.eq)
7/1/2024,2:00:00,5.684,V ugm-3 (Ref.eq)
7/1/2024,3:00:00,7.241,V ugm-3 (Ref.eq)
7/1/2024,4:00:00,7.689,V ugm-3 (Ref.eq)
7/1/2024,5:00:00,7.665,V ugm-3 (Ref.eq)
7/1/2024,6:00:00,4.835,V ugm-3 (Ref.eq)
7/1/2024,7:00:00,4.528,V ugm-3 (Ref.eq)
7/1/2024,8:00:00,4.788,V ugm-3 (Ref.eq)
7/1/2024,9:00:00,5.165,V ugm-3 (Ref.eq)
7/1/2024,10:00:00,5.071,V ugm-3 (Ref.eq)
7/1/2024,11:00:00,4.387,V ugm-3 (Ref.eq)
7/1/2024,12:00:00,4.741,V ugm-3 (Ref.eq)
7/1/2024,13:00:00,5,V ugm-3 (Ref.eq)
7/1/2024,14:00:00,4.434,V ugm-3 (Ref.eq)
7/1/2024,15:00:00,4.222,V ugm-3 (Ref.eq)
7/1/2024,16:00:00,5.566,V ugm-3 (Ref.eq)
7/1/2024,17:00:00,6.557,V ugm-3 (Ref.eq)
7/1/2024,18:00:00,7.217,V ugm-3 (Ref.eq)
7/1/2024,19:00:00,10.495,V ugm-3 (Ref.eq)
7/1/2024,20:00:00,6.84,V ugm-3 (Ref.eq)
7/1/2024,21:00:00,5.118,V ugm-3 (Ref.eq)
7/1/2024,22:00:00,5.684,V ugm-3 (Ref.eq)
7/1/2024,23:00:00,5.519,V ugm-3 (Ref.eq)
7/1/2024,24:00:00,7.642,V ugm-3 (Ref.eq)
8/1/2024,1:00:00,7.146,V ugm-3 (Ref.eq)
8/1/2024,2:00:00,8.373,V ugm-3 (Ref.eq)
8/1/2024,3:00:00,9.811,V ugm-3 (Ref.eq)
8/1/2024,4:00:00,8.774,V ugm-3 (Ref.eq)
8/1/2024,5:00:00,8.066,V ugm-3 (Ref.eq)
8/1/2024,6:00:00,7.712,V ugm-3 (Ref.eq)
8/1/2024,7:00:00,6.58,V ugm-3 (Ref.eq)
8/1/2024,8:00:00,5.047,V ugm-3 (Ref.eq)
8/1/2024,9:00:00,5.967,V ugm-3 (Ref.eq)
8/1/2024,10:00:00,5,V ugm-3 (Ref.eq)
8/1/2024,11:00:00,6.321,V ugm-3 (Ref.eq)
8/1/2024,12:00:00,6.745,V ugm-3 (Ref.eq)
8/1/2024,13:00:00,7.571,V ugm-3 (Ref.eq)
8/1/2024,14:00:00,6.981,V ugm-3 (Ref.eq)
8/1/2024,15:00:00,7.264,V ugm-3 (Ref.eq)
8/1/2024,16:00:00,7.83,V ugm-3 (Ref.eq)
8/1/2024,17:00:00,7.854,V ugm-3 (Ref.eq)
8/1/2024,18:00:00,7.972,V ugm-3 (Ref.eq)
8/1/2024,19:00:00,7.877,V ugm-3 (Ref.eq)
